,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
103,Threads_up_close.webp,moderate_downsampling.yaml,12,8,1,1,1,1,140.971,46.028,47.258,0.124,42,200,383,32,10,1684,149,0.971,42.732,490,chain mail,0.28,0.37,0.298
104,wheat_field.webp,moderate_downsampling.yaml,12,8,1,1,1,1,192.54,51.073,52.303,0.172,48,193,327,41,11,2081,170,0.955,31.203,998,ear,0.27,0.11,0.595
105,20220422-20220424-elarbi-coachella-4B5A8619.CR2,no_downsampling.yaml,1,8,1,1,1,1,16124.003,156.611,157.842,0.183,4276,20064,50157,3443,68,197827,24490,0.815,15.182,981,ballplayer,0.16,0.02,0.858
106,20220422-20220424-elarbi-coachella-4B5A8887.CR2,no_downsampling.yaml,1,8,1,1,1,1,17765.51,207.923,209.153,0.202,4180,19865,50594,3969,85,224370,24538,0.55,13.311,541,drum,0.59,0.34,0.434
107,20220930-elarbi-ner-4B5A2550.CR2,no_downsampling.yaml,1,8,1,1,1,1,40676.469,182.237,183.468,0.459,4621,19196,73145,8973,168,457669,25096,0.418,14.544,573,go-kart,0.82,0.56,0.325
108,20230501-elarbi-neugradphotos-4B5A7958.CR2,no_downsampling.yaml,1,8,1,1,1,1,21452.248,221.442,222.673,0.244,4304,20595,52740,5018,96,265074,24634,0.472,13.6,557,flagpole,0.88,0.96,0.099
109,20230501-elarbi-neugradphotos-4B5A7992.CR2,no_downsampling.yaml,1,8,1,1,1,1,16795.354,180.16,181.391,0.191,5234,21218,52803,3506,78,214989,25918,0.568,9.475,999,toilet tissue,0.13,0.0,0.994
110,20230501-elarbi-neugradphotos-4B5A8009.CR2,no_downsampling.yaml,1,8,1,1,1,1,28009.618,187.992,189.223,0.317,4080,21117,57973,6079,120,343267,25083,0.263,14.061,683,oboe,0.18,0.24,0.283
111,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,no_downsampling.yaml,1,8,1,1,1,1,24589.33,90.009,91.239,0.277,4382,19875,57531,5939,85,274341,25518,0.587,8.475,818,spotlight,0.15,0.2,0.384
112,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,no_downsampling.yaml,1,8,1,1,1,1,30099.704,173.402,174.633,0.34,5014,19872,60635,6254,112,340638,24136,0.405,10.344,841,sweatshirt,0.17,0.1,0.401
113,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,no_downsampling.yaml,1,8,1,1,1,1,24318.98,168.209,169.439,0.275,4851,19656,54548,5047,89,296230,25925,0.295,8.682,489,chainlink fence,0.93,0.97,0.035
114,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,no_downsampling.yaml,1,8,1,1,1,1,18056.183,175.231,176.462,0.205,4046,21018,51068,3930,73,223959,25154,0.612,12.136,643,mask,0.35,0.04,0.888
115,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,no_downsampling.yaml,1,8,1,1,1,1,24673.502,258.891,260.121,0.28,4562,19321,55663,5052,112,306656,24267,0.594,13.844,796,ski mask,0.23,0.02,0.914
116,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,no_downsampling.yaml,1,8,1,1,1,1,40777.286,128.428,129.658,0.46,4255,20333,69315,8651,144,462688,24846,0.467,15.031,585,hair spray,0.27,0.06,0.775
117,20241017-elarbi-bladeeNYC-4B5A2464.CR2,no_downsampling.yaml,1,8,1,1,1,1,22675.617,218.734,219.965,0.257,4596,19506,55146,4750,101,267688,25809,0.676,14.394,819,stage,0.69,0.53,0.237
118,20241017-elarbi-bladeeNYC-4B5A2603.CR2,no_downsampling.yaml,1,8,1,1,1,1,41127.286,178.878,180.108,0.464,4285,21233,67800,8657,131,470421,24539,0.473,16.079,650,microphone,0.22,0.4,0.84
119,20241111-elarbi-thehellpNYC-4B5A4361.CR2,no_downsampling.yaml,1,8,1,1,1,1,45864.578,196.348,197.578,0.518,4923,19303,76117,9914,219,488388,24837,0.296,13.69,860,tobacco shop,0.33,0.04,0.886
120,20241113-elarbi-thehellpBOS-4B5A4416.CR2,no_downsampling.yaml,1,8,1,1,1,1,33648.198,183.524,184.755,0.38,4883,19409,60973,7191,120,383290,25255,0.485,15.506,526,desk,0.66,0.55,0.167
121,20241113-elarbi-thehellpBOS-4B5A4417.CR2,no_downsampling.yaml,1,8,1,1,1,1,22587.296,136.609,137.84,0.255,4329,20308,54829,4844,82,263469,24760,0.679,12.458,784,screwdriver,0.37,0.27,0.251
122,20241113-elarbi-thehellpBOS-4B5A4438.CR2,no_downsampling.yaml,1,8,1,1,1,1,28951.386,199.36,200.591,0.328,4269,19351,57457,6054,116,342237,24750,0.428,10.86,819,stage,0.64,0.79,0.232
123,20241113-elarbi-thehellpBOS-4B5A4452.CR2,no_downsampling.yaml,1,8,1,1,1,1,25824.393,161.401,162.632,0.292,5382,19803,57900,5347,112,299305,24978,0.626,12.661,793,shower cap,0.37,0.44,0.177
124,20250222-elarbi-redbullBOS-4B5A4586.CR2,no_downsampling.yaml,1,8,1,1,1,1,55356.098,191.479,192.709,0.624,4551,19713,81729,11948,214,530158,26002,0.208,17.967,450,bobsled,0.3,0.04,0.86
125,Artistic_portrait.avif,no_downsampling.yaml,1,8,1,1,1,1,416.389,89.396,90.627,0.06,124,1833,3854,90,17,9216,2330,0.996,49.677,107,jellyfish,0.42,0.4,0.039
126,Bright_red_portrait.avif,no_downsampling.yaml,1,8,1,1,1,1,212.046,111.288,112.517,0.187,42,457,900,49,21,6072,1489,0.981,45.255,684,ocarina,0.75,0.73,0.023
127,Brooklyn_bridge.webp,no_downsampling.yaml,1,8,1,1,1,1,707.589,128.87,130.1,0.265,96,725,1754,153,25,7717,863,0.995,45.058,718,pier,0.88,0.87,0.007
128,Brush_ends.webp,no_downsampling.yaml,1,8,1,1,1,1,260.699,62.504,63.732,0.214,46,926,1192,58,15,3109,422,0.988,45.306,696,paintbrush,0.96,0.94,0.02
129,bunny.CR2,no_downsampling.yaml,1,8,1,1,1,1,43221.071,177.868,179.099,0.488,4150,21167,69389,8990,166,462738,24450,0.181,12.056,330,wood rabbit,0.5,0.32,0.358
130,Colorful_patern_portrait.webp,no_downsampling.yaml,1,8,1,1,1,1,1006.416,146.41,147.641,0.19,160,1407,3242,253,27,15103,1724,0.991,45.387,836,sunglass,0.55,0.54,0.009
131,Colorful_portrait.webp,no_downsampling.yaml,1,8,1,1,1,1,282.995,63.232,64.462,0.212,55,419,891,68,13,4375,442,0.985,45.105,552,feather boa,1.0,1.0,0.0
132,el_capitain_with_night_sky.webp,no_downsampling.yaml,1,8,1,1,1,1,651.315,60.649,61.88,0.127,130,1225,2827,139,16,9401,1517,0.991,45.881,972,cliff,0.45,0.41,0.08
133,green_wheat_field.webp,no_downsampling.yaml,1,8,1,1,1,1,430.146,76.265,77.493,0.271,61,458,1150,90,16,5227,510,0.988,44.714,984,rapeseed,1.0,1.0,0.0
134,landscape.png,no_downsampling.yaml,1,8,1,1,1,1,4696.705,108.209,109.439,0.345,234,4097,9712,1010,33,54572,3839,0.987,43.624,984,rapeseed,0.25,0.25,0.006
135,man_holding_camera.webp,no_downsampling.yaml,1,8,1,1,1,1,385.826,99.753,100.982,0.271,76,488,1021,83,18,4458,515,0.993,44.722,763,revolver,0.06,0.06,0.004
136,Polar_bear_over_water.webp,no_downsampling.yaml,1,8,1,1,1,1,219.757,69.396,70.625,0.303,38,297,560,51,13,2478,261,0.992,45.076,296,ice bear,0.17,0.16,0.083
137,Portrate_with_greenery_background.webp,no_downsampling.yaml,1,8,1,1,1,1,3706.149,112.621,113.852,0.107,545,8604,17477,776,29,51424,9891,0.991,45.956,610,jersey,0.31,0.32,0.019
138,Threads_up_close.webp,no_downsampling.yaml,1,8,1,1,1,1,163.486,50.79,52.019,0.142,33,392,755,37,12,2172,416,0.99,45.531,490,chain mail,0.28,0.33,0.168
139,wheat_field.webp,no_downsampling.yaml,1,8,1,1,1,1,327.208,74.609,75.838,0.283,47,389,1467,73,15,4145,1113,0.994,44.708,998,ear,0.27,0.27,0.011
140,20220422-20220424-elarbi-coachella-4B5A8619.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,6737.145,131.68,132.911,0.077,3987,6454,18467,1396,40,81630,8487,0.818,15.126,981,ballplayer,0.16,0.02,0.853
141,20220422-20220424-elarbi-coachella-4B5A8887.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,7774.28,149.879,151.11,0.089,4022,7461,17647,1651,50,98525,8953,0.547,13.292,541,drum,0.59,0.24,0.595
142,20220930-elarbi-ner-4B5A2550.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,14956.181,135.266,136.497,0.17,4194,6621,23367,3205,65,170584,8255,0.514,14.588,573,go-kart,0.82,0.57,0.304
143,20230501-elarbi-neugradphotos-4B5A7958.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,9717.505,163.509,164.74,0.111,4116,6556,19377,2075,55,121880,8020,0.474,13.577,557,flagpole,0.88,0.97,0.106
144,20230501-elarbi-neugradphotos-4B5A7992.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,7359.994,144.053,145.284,0.084,4449,7479,17593,1511,49,92535,8032,0.572,9.455,999,toilet tissue,0.13,0.0,0.995
145,20230501-elarbi-neugradphotos-4B5A8009.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,12265.737,136.045,137.276,0.139,4035,7287,19373,2521,59,152856,8328,0.258,14.143,683,oboe,0.18,0.18,0.009
146,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,8691.953,68.114,69.346,0.098,4951,6342,19308,1767,41,91747,7975,0.629,8.471,818,spotlight,0.15,0.19,0.278
147,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,12716.933,153.28,154.512,0.145,4281,7296,26792,3591,72,160686,10365,0.429,10.346,841,sweatshirt,0.17,0.07,0.571
148,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,11166.542,137.31,138.541,0.127,4423,6839,20494,2356,64,138201,7987,0.301,8.677,489,chainlink fence,0.93,0.95,0.012
149,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,7801.546,133.007,134.238,0.089,4022,7539,17963,1613,42,93835,8022,0.62,12.118,643,mask,0.35,0.05,0.866
150,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,10306.013,180.796,182.027,0.118,4533,6634,19590,2282,64,128911,8099,0.604,13.901,796,ski mask,0.23,0.02,0.916
151,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,14648.931,104.812,106.043,0.166,4296,7333,22904,3006,59,159762,8147,0.583,15.085,585,hair spray,0.27,0.08,0.695
152,20241017-elarbi-bladeeNYC-4B5A2464.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,9030.653,156.459,157.69,0.103,4583,6554,19448,1899,60,104463,8103,0.7,14.403,819,stage,0.69,0.52,0.253
153,20241017-elarbi-bladeeNYC-4B5A2603.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,15177.527,152.306,153.537,0.172,4613,6423,22999,3131,61,171353,8438,0.582,16.133,650,microphone,0.22,0.38,0.751
154,20241111-elarbi-thehellpNYC-4B5A4361.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,16900.604,154.794,156.025,0.192,4691,6333,23018,3503,72,153249,7959,0.389,13.769,860,tobacco shop,0.33,0.04,0.866
155,20241113-elarbi-thehellpBOS-4B5A4416.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,14043.43,142.992,144.224,0.16,4175,7430,21353,3067,60,163042,8116,0.522,15.477,526,desk,0.66,0.6,0.081
156,20241113-elarbi-thehellpBOS-4B5A4417.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,9082.942,112.85,114.081,0.103,4596,6458,19231,1828,50,104340,8607,0.703,12.423,784,screwdriver,0.37,0.21,0.414
157,20241113-elarbi-thehellpBOS-4B5A4438.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,12601.604,150.554,151.785,0.143,4195,6193,20897,2676,65,148591,8173,0.442,10.838,819,stage,0.64,0.66,0.036
158,20241113-elarbi-thehellpBOS-4B5A4452.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,10923.143,136.92,138.151,0.124,4327,6812,20313,2196,52,128671,8071,0.657,12.618,793,shower cap,0.37,0.31,0.168
159,20250222-elarbi-redbullBOS-4B5A4586.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,19489.235,142.729,143.96,0.221,4150,6356,25943,3969,78,179287,8018,0.339,18.824,450,bobsled,0.3,0.07,0.758
160,Artistic_portrait.avif,very_high_downsampling.yaml,24,8,1,1,1,1,287.09,75.355,76.587,0.043,95,636,1486,63,15,4978,781,0.967,39.846,107,jellyfish,0.42,0.34,0.18
161,Bright_red_portrait.avif,very_high_downsampling.yaml,24,8,1,1,1,1,94.692,70.281,71.511,0.096,42,204,321,25,15,1346,177,0.867,25.814,684,ocarina,0.75,0.62,0.165
162,Brooklyn_bridge.webp,very_high_downsampling.yaml,24,8,1,1,1,1,517.604,99.516,100.746,0.195,101,274,792,139,20,5489,290,0.975,31.669,718,pier,0.88,0.87,0.005
163,Brush_ends.webp,very_high_downsampling.yaml,24,8,1,1,1,1,173.903,46.699,47.929,0.146,46,223,896,138,35,2200,142,0.948,36.041,696,paintbrush,0.96,0.86,0.099
164,bunny.CR2,very_high_downsampling.yaml,24,8,1,1,1,1,16889.494,133.474,134.705,0.191,4059,6404,23516,3478,70,161171,8497,0.206,12.125,330,wood rabbit,0.5,0.37,0.26
165,Colorful_patern_portrait.webp,very_high_downsampling.yaml,24,8,1,1,1,1,408.602,78.45,79.682,0.08,156,450,1127,92,17,4579,556,0.687,20.33,836,sunglass,0.55,0.62,0.14
166,Colorful_portrait.webp,very_high_downsampling.yaml,24,8,1,1,1,1,152.408,39.202,40.433,0.118,60,250,343,33,9,1576,151,0.837,29.416,552,feather boa,1.0,0.04,0.955
167,el_capitain_with_night_sky.webp,very_high_downsampling.yaml,24,8,1,1,1,1,490.336,43.131,44.362,0.095,128,429,1080,105,10,5161,503,0.979,39.516,972,cliff,0.45,0.33,0.251
168,green_wheat_field.webp,very_high_downsampling.yaml,24,8,1,1,1,1,227.872,49.363,50.593,0.149,56,206,397,49,12,3402,175,0.919,30.479,984,rapeseed,1.0,1.0,0.0
169,landscape.png,very_high_downsampling.yaml,24,8,1,1,1,1,2351.876,73.845,75.076,0.174,238,1055,3372,479,27,25007,1286,0.907,30.491,984,rapeseed,0.25,0.12,0.519
170,man_holding_camera.webp,very_high_downsampling.yaml,24,8,1,1,1,1,228.979,67.237,68.468,0.166,51,194,506,82,23,2998,247,0.895,27.194,763,revolver,0.06,0.03,0.557
171,Polar_bear_over_water.webp,very_high_downsampling.yaml,24,8,1,1,1,1,147.769,46.546,47.775,0.204,35,136,248,32,9,1630,91,0.935,29.745,296,ice bear,0.17,0.02,0.868
172,Portrate_with_greenery_background.webp,very_high_downsampling.yaml,24,8,1,1,1,1,2672.172,98.408,99.64,0.078,543,3315,6750,546,28,31952,3250,0.978,39.696,610,jersey,0.31,0.29,0.076
173,Threads_up_close.webp,very_high_downsampling.yaml,24,8,1,1,1,1,140.589,45.085,46.314,0.123,36,184,309,32,10,1743,135,0.968,42.0,490,chain mail,0.28,0.36,0.262
174,wheat_field.webp,very_high_downsampling.yaml,24,8,1,1,1,1,190.638,48.536,49.766,0.169,42,178,318,42,10,2114,135,0.95,29.284,998,ear,0.27,0.07,0.755
175,20220422-20220424-elarbi-coachella-4B5A8619.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,9442.152,149.878,151.108,0.108,4385,9796,25594,1945,52,113960,12204,0.819,15.143,981,ballplayer,0.16,0.03,0.845
176,20220422-20220424-elarbi-coachella-4B5A8887.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,10912.36,191.755,192.985,0.125,4088,10237,26324,2901,68,140252,14172,0.548,13.287,541,drum,0.59,0.36,0.402
177,20220930-elarbi-ner-4B5A2550.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,21958.942,170.528,171.759,0.249,4547,10720,33293,4648,83,242003,12276,0.445,14.537,573,go-kart,0.82,0.53,0.36
178,20230501-elarbi-neugradphotos-4B5A7958.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,13211.616,205.284,206.515,0.151,4033,11381,27750,2859,68,166092,11937,0.472,13.575,557,flagpole,0.88,0.97,0.103
179,20230501-elarbi-neugradphotos-4B5A7992.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,10233.635,170.685,171.915,0.117,4889,9566,26065,2114,70,125309,12352,0.569,9.457,999,toilet tissue,0.13,0.0,0.994
180,20230501-elarbi-neugradphotos-4B5A8009.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,17246.309,176.889,178.119,0.196,4014,10525,29305,3826,74,206414,12310,0.26,14.052,683,oboe,0.18,0.23,0.248
181,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,12921.496,81.78,83.011,0.146,4715,10970,29981,2863,56,137350,12561,0.603,8.469,818,spotlight,0.15,0.23,0.558
182,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,17689.443,167.31,168.54,0.201,4346,10632,31439,3583,72,197411,11983,0.414,10.349,841,sweatshirt,0.17,0.1,0.408
183,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,15100.827,157.932,159.162,0.172,4568,10543,28402,3721,86,178017,11993,0.296,8.678,489,chainlink fence,0.93,0.96,0.031
184,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,10822.601,164.75,165.98,0.124,4677,9781,35518,2715,64,133713,12677,0.615,12.11,643,mask,0.35,0.04,0.893
185,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,14674.605,239.867,241.098,0.168,4228,9938,29021,3197,84,186263,12387,0.593,13.835,796,ski mask,0.23,0.02,0.907
186,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,21602.683,124.262,125.492,0.244,4350,9942,33548,4753,77,240523,12534,0.501,15.028,585,hair spray,0.27,0.08,0.71
187,20241017-elarbi-bladeeNYC-4B5A2464.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,13093.843,196.945,198.176,0.149,4318,9792,29436,2813,74,149761,12571,0.685,14.36,819,stage,0.69,0.54,0.215
188,20241017-elarbi-bladeeNYC-4B5A2603.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,22201.855,170.838,172.068,0.252,4442,9859,35130,4722,89,253348,12047,0.513,16.096,650,microphone,0.22,0.41,0.884
189,20241111-elarbi-thehellpNYC-4B5A4361.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,24637.986,185.301,186.531,0.279,4155,10217,34007,5236,98,212844,12135,0.322,13.692,860,tobacco shop,0.33,0.03,0.897
190,20241113-elarbi-thehellpBOS-4B5A4416.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,19553.95,173.771,175.001,0.222,4210,10063,30774,4060,86,219511,12401,0.498,15.476,526,desk,0.66,0.57,0.13
191,20241113-elarbi-thehellpBOS-4B5A4417.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,12889.605,130.879,132.109,0.146,4097,10198,27806,2653,61,142661,12566,0.687,12.428,784,screwdriver,0.37,0.27,0.274
192,20241113-elarbi-thehellpBOS-4B5A4438.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,17291.048,183.837,185.067,0.196,4107,10265,29909,3605,80,196415,11956,0.432,10.838,819,stage,0.64,0.77,0.208
193,20241113-elarbi-thehellpBOS-4B5A4452.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,15205.579,155.536,156.767,0.173,4573,9291,28886,3364,74,173732,11868,0.635,12.629,793,shower cap,0.37,0.39,0.034
194,20250222-elarbi-redbullBOS-4B5A4586.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,28818.89,182.503,183.733,0.326,4539,9310,35753,5952,115,255404,11732,0.238,18.209,450,bobsled,0.3,0.04,0.853
195,Artistic_portrait.avif,very_low_downsampling.yaml,2,8,1,1,1,1,330.621,89.83,91.061,0.05,109,933,2650,73,16,5268,1210,0.995,48.471,107,jellyfish,0.42,0.4,0.042
196,Bright_red_portrait.avif,very_low_downsampling.yaml,2,8,1,1,1,1,140.589,100.159,101.388,0.139,52,221,467,34,20,1875,235,0.971,40.825,684,ocarina,0.75,0.73,0.018
197,Brooklyn_bridge.webp,very_low_downsampling.yaml,2,8,1,1,1,1,595.38,121.039,122.269,0.227,92,378,1904,129,24,5817,427,0.994,42.173,718,pier,0.88,0.88,0.002
198,Brush_ends.webp,very_low_downsampling.yaml,2,8,1,1,1,1,206.596,60.382,61.61,0.177,42,214,457,45,14,2203,207,0.983,43.424,696,paintbrush,0.96,0.92,0.036
199,bunny.CR2,very_low_downsampling.yaml,2,8,1,1,1,1,24245.355,164.643,165.873,0.274,4482,9503,33402,5075,100,236263,11952,0.191,12.092,330,wood rabbit,0.5,0.32,0.37
200,Colorful_patern_portrait.webp,very_low_downsampling.yaml,2,8,1,1,1,1,651.088,133.34,134.57,0.129,151,659,1698,140,22,7288,861,0.975,37.84,836,sunglass,0.55,0.54,0.008
201,Colorful_portrait.webp,very_low_downsampling.yaml,2,8,1,1,1,1,209.226,58.472,59.701,0.164,51,230,485,47,12,2110,217,0.973,41.948,552,feather boa,1.0,1.0,0.001
202,el_capitain_with_night_sky.webp,very_low_downsampling.yaml,2,8,1,1,1,1,554.889,53.889,55.119,0.108,125,599,1535,132,14,6152,835,0.99,44.937,972,cliff,0.45,0.45,0.006
203,green_wheat_field.webp,very_low_downsampling.yaml,2,8,1,1,1,1,290.616,67.364,68.593,0.192,49,250,576,67,16,3150,249,0.981,41.082,984,rapeseed,1.0,1.0,0.0
204,landscape.png,very_low_downsampling.yaml,2,8,1,1,1,1,2932.185,102.362,103.593,0.218,223,1441,4515,620,29,31298,1936,0.963,37.136,984,rapeseed,0.25,0.22,0.094
205,man_holding_camera.webp,very_low_downsampling.yaml,2,8,1,1,1,1,295.688,90.705,91.935,0.216,44,242,568,66,15,3073,246,0.987,40.898,763,revolver,0.06,0.06,0.065
206,Polar_bear_over_water.webp,very_low_downsampling.yaml,2,8,1,1,1,1,177.691,63.242,64.471,0.253,35,167,324,40,13,1920,130,0.989,42.096,296,ice bear,0.17,0.18,0.048
207,Portrate_with_greenery_background.webp,very_low_downsampling.yaml,2,8,1,1,1,1,3065.062,110.302,111.532,0.089,537,4608,9259,675,30,35493,4798,0.99,45.083,610,jersey,0.31,0.32,0.014
208,Threads_up_close.webp,very_low_downsampling.yaml,2,8,1,1,1,1,149.938,49.326,50.555,0.132,30,218,418,34,11,1769,204,0.986,45.023,490,chain mail,0.28,0.36,0.285
209,wheat_field.webp,very_low_downsampling.yaml,2,8,1,1,1,1,247.821,69.099,70.327,0.223,39,203,451,58,14,2585,191,0.991,40.753,998,ear,0.27,0.29,0.09
